Type,ID,last_checked,last_modified,last_vectorised,name,unique_name,unique_name,unique_name
artist,mangold_robert,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,robert mangold,mangold,mangold,mangold
definition,assemblage,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,assemblage,assemblage,assemblage,assemblage
artist,millais_john_everett,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,john everett millais,everett millais,everett millais,everett millais
artist,richardson_henry_hobson,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,henry hobson richardson,hobson richardson,hobson richardson,hobson richardson
movement,vorticism,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,vorticism,vorticism,vorticism,vorticism
movement,neo_geo,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,neo-geo,neo-geo,neo-geo,neo-geo
artist,kauffman_angelica,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,angelica kauffman,angelica kauffman,angelica kauffman,angelica kauffman
artist,smith_kiki,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,kiki smith,kiki,kiki,kiki
movement,pop_art,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,pop art,,,
artist,richter_hans,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,hans richter,,,
artist,haacke_hans,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,hans haacke,haacke,haacke,haacke
artist,hatoum_mona,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,mona hatoum,mona hatoum,mona hatoum,mona hatoum
artist,weegee,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,weegee,weegee,weegee,weegee
artist,wyeth_andrew,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,andrew wyeth,andrew wyeth,andrew wyeth,andrew wyeth
artist,de_kooning_elaine,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,elaine de kooning,elaine,elaine,elaine
artist,eggleston_william,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,william eggleston,eggleston,eggleston,eggleston
artist,lawler_louise,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,louise lawler,lawler,lawler,lawler
artist,mantegna_andrea,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,andrea mantegna,mantegna,mantegna,mantegna
artist,export_valie,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,valie export,valie export,valie export,valie export
artist,schiele_egon,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,egon schiele,egon schiele,egon schiele,egon schiele
artist,mucha_alphonse,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,alphonse mucha,alphonse mucha,alphonse mucha,alphonse mucha
artist,siskind_aaron,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,aaron siskind,siskind,siskind,siskind
artist,steichen_edward,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,edward steichen,steichen,steichen,steichen
artist,park_david,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,david park,park,park,park
